A,Cw,Ix,Iy,J,R1,R2,Size,Sx,Sy,Type,W,Zx,Zy,b,d,d1,rx,ry,tf,tw
7.11,224,102,12.2,0.386,0.3,0.01,I 9 x 8.36,22.7,4.44,Aluminum Association,8.36,25.2,6.729,5.5,9,7.52,3.79,1.31,0.44,0.27
1.22,0.275,0.782,0.275,0.02,0.188,0.094,WF 2 x 1.43,0.782,0.275,Wide Flange Beam,1.43,0.931,0.478,2,2,1.13,0.8,0.47,0.232,0.188
4.05,14.1,10.8,3.52,0.168,0.313,0.145,WF 4 x 4.76,5.4,1.76,Wide Flange Beam,4.76,6.204,3.04,4,4,2.38,1.63,0.93,0.37,0.313
2.38,4.5,6.71,1.31,0.061,0.25,0.01,I 4 x 2.79,3.36,0.872,Aluminum Association,2.79,3.72,1.317,3,4,2.92,1.68,0.742,0.29,0.17
11.1,584,121,36.5,0.816,0.313,0.179,WF 8 x 13.0,30.3,9.13,Wide Flange Beam,13,34.36,15.58,8.13,8,6.25,3.31,1.82,0.458,0.5
9.71,867,171,36.5,0.505,0.5,0,WF 10 x 11.4,35.1,9.16,Wide Flange Beam,11.4,37.89,13.92,7.964,9.75,7.88,4.2,1.94,0.433,0.292
6.21,265,107,10.8,0.193,0.312,0,WF 10 x 7.30,21.6,3.75,Wide Flange Beam,7.3,23.79,5.75,5.75,9.9,8.56,4.15,1.32,0.34,0.24
11.8,1572,310,44.1,0.825,0.6,0,WF 12 x 13.8,51.9,11,Wide Flange Beam,13.8,55.9,16.75,8,11.94,9.69,5.13,1.94,0.516,0.294
15.6,3494,426,96.1,1.423,0.6,0,WF 12 x 18.3,70.7,19.2,Wide Flange Beam,18.3,76.41,29.12,10,12.06,9.69,5.23,2.48,0.576,0.345
0.789,0.235,0.831,0.155,0.004,0.156,0.125,WF(A-N) 2 x 0.928,0.665,0.155,Army-Navy Series,0.928,0.752,0.259,2,2.5,2,1.03,0.443,0.125,0.125
0.654,0.265,0.992,0.118,0.002,0.156,0.094,WF(A-N) 3 x 0.769,0.661,0.118,Army-Navy Series,0.769,0.732,0.194,2,3,2.5,1.23,0.426,0.094,0.094
0.851,0.344,1.26,0.155,0.004,0.156,0.125,WF(A-N) 3 x 1.00,0.841,0.155,Army-Navy Series,1,0.955,0.261,2,3,2.5,1.22,0.426,0.125,0.125
0.969,0.626,2.42,0.155,0.005,0.125,0.125,WF(A-N) 4 x 1.14,1.21,0.155,Army-Navy Series,1.14,1.408,0.265,2,4,3.5,1.58,0.4,0.125,0.125
1.52,2.59,4.14,0.659,0.012,0.188,0.156,WF(A-N) 4 x 1.79,2.07,0.439,Army-Navy Series,1.79,2.329,0.724,3,4,3.25,1.65,0.658,0.156,0.156
2,4.88,5.52,1.26,0.024,0.188,0.188,WF(A-N) 4 x 2.35,2.76,0.719,Army-Navy Series,2.35,3.126,1.184,3.5,4,3.25,1.66,0.793,0.188,0.188
2.6,6.28,6.97,1.64,0.055,0.188,0.25,WF(A-N) 4 x 3.06,3.48,0.936,Army-Navy Series,3.06,4.047,1.586,3.5,4,3,1.64,0.793,0.25,0.25
3.52,11.3,9.39,3.03,0.115,0.25,0.312,WF(A-N) 4 x 4.14,4.7,1.51,Army-Navy Series,4.14,5.492,2.578,4,4,2.75,1.63,0.927,0.312,0.312
4.56,35.7,19.7,6.43,0.146,0.312,0.125,WF(A-N) 5 x 5.36,7.86,2.57,Army-Navy Series,5.36,8.807,4.006,5,5,3.75,2.08,1.19,0.312,0.312
2.79,3.6,6.79,0.9,0.086,0.29,0.11,S 4 x 3.28,3.39,0.65,American Standard,3.28,3.987,1.236,2.796,4,2.75,1.56,0.57,0.293,0.326
1.67,1.04,2.52,0.46,0.031,0.27,0.1,S 3 x 1.96,1.68,0.39,American Standard,1.96,1.921,0.724,2.33,3,1.75,1.23,0.52,0.26,0.17
2.25,3.04,6.06,0.76,0.052,0.29,0.11,S 4 x 2.64,3.03,0.57,American Standard,2.64,3.443,1.067,2.66,4,2.75,1.64,0.58,0.293,0.19
2.21,1.33,2.93,0.59,0.065,0.27,0.1,S 3 x 2.59,1.95,0.47,American Standard,2.59,2.324,0.894,2.509,3,1.75,1.15,0.52,0.26,0.349
3.66,16.4,22.1,1.82,0.124,0.33,0.14,S 6 x 4.30,7.36,1.09,American Standard,4.3,8.348,2.06,3.33,6,4.5,2.46,0.71,0.359,0.23
3.6,8.81,13.7,1.41,0.133,0.31,0.13,S 5 x 4.23,5.48,0.9,American Standard,4.23,6.42,1.735,3.137,5,3.5,1.95,0.63,0.326,0.347
2.92,7.56,12.3,1.21,0.083,0.31,0.13,S 5 x 3.43,4.9,0.81,American Standard,3.43,5.564,1.515,3,5,3.5,2.05,0.64,0.326,0.21
5.4,59.7,57.6,3.73,0.252,0.37,0.16,S 8 x 6.35,14.4,1.86,American Standard,6.35,16.33,3.53,4,8,6.25,3.27,0.83,0.425,0.27
4.34,18.4,24.1,2.04,0.177,0.33,0.14,S 6 x 5.10,8.04,1.19,American Standard,5.1,9.365,2.283,3.443,6,4.5,2.36,0.69,0.359,0.343
5.07,20.8,26.3,2.31,0.287,0.33,0.14,S 6 x 5.96,8.77,1.3,American Standard,5.96,10.46,2.567,3.565,6,4.5,2.28,0.68,0.359,0.465
4.34,10.4,15.2,1.66,0.251,0.31,0.13,S 5 x 5.10,6.09,1.01,American Standard,5.1,7.339,2.023,3.284,5,3.5,1.87,0.62,0.326,0.494
5.15,35.3,39.4,2.88,0.236,0.35,0.15,S 7 x 6.05,11.3,1.53,American Standard,6.05,13.06,2.949,3.755,7,5.25,2.77,0.75,0.392,0.345
7.49,74.6,68.7,4.66,0.577,0.37,0.16,S 8 x 8.81,17.2,2.19,American Standard,8.81,20.52,4.366,4.262,8,6.25,3.03,0.79,0.425,0.532
7.45,170,123,6.78,0.457,0.41,0.19,S 10 x 8.76,24.5,2.91,American Standard,8.76,28.06,5.548,4.66,10,8,4.07,0.95,0.491,0.31
6.38,103,85.9,5.09,0.343,0.39,0.17,S 9 x 7.51,19.1,2.35,American Standard,7.51,21.68,4.463,4.33,9,7,3.67,0.89,0.458,0.29
6.77,69,64.9,4.31,0.418,0.37,0.16,S 8 x 7.96,16.2,2.07,American Standard,7.96,19.06,4.045,4.171,8,6.25,3.1,0.8,0.425,0.441
9.35,337,218,9.35,0.693,0.45,0.21,S 12 x 11.0,36.4,3.74,American Standard,11,41.58,7.134,5,12,9.75,4.83,1,0.544,0.35
8.82,188,135,7.5,0.647,0.41,0.19,S 10 x 10.4,27,3.13,American Standard,10.4,31.48,6.1,4.797,10,8,3.91,0.92,0.491,0.447
10.3,209,147,8.36,1.02,0.41,0.19,S 10 x 12.1,29.4,3.38,American Standard,12.1,35.16,6.796,4.944,10,8,3.78,0.9,0.491,0.594
10.3,355,229,9.87,0.83,0.45,0.21,S 12 x 12.1,38.2,3.89,American Standard,12.1,44.39,7.514,5.078,12,9.75,4.72,0.98,0.544,0.428
12,486,272,13.5,1.353,0.56,0.28,S 12 x 14.1,45.4,5.16,American Standard,14.1,52.41,9.661,5.25,12,9.25,4.77,1.06,0.66,0.46
13.2,522,287,14.5,1.668,0.56,0.28,S 12 x 15.6,47.9,5.42,American Standard,15.6,56.19,10.315,5.355,12,9.25,4.66,1.05,0.66,0.565
14.7,565,305,15.7,2.204,0.56,0.28,S 12 x 17.3,50.8,5.74,American Standard,17.3,60.58,11.159,5.477,12,9.25,4.56,1.03,0.66,0.687
