A,I,ID,J,OD,Rb_t,S,Size,W,Z,r,t
8.25,114,10.25,227,10.75,21,21.2,PIPE 10 Sched 20,9.7,27.6,3.71,0.25
10.1,137,10.136,275,10.75,17,25.6,PIPE 10 Sched 30,11.8,33.5,3.69,0.307
15,121,7.437,242,8.625,6.8,28.2,PIPE 8 Sched 100,17.6,38.4,2.85,0.594
16.1,212,9.75,423,10.75,10.3,39.4,PIPE 10 Sched 60,18.9,52.6,3.63,0.5
11.9,161,10.02,321,10.75,14.2,29.9,PIPE 10 Sched 40,14,39.4,3.67,0.365
19,245,9.562,489,10.75,8.5,45.6,PIPE 10 Sched 80,22.3,61.3,3.6,0.594
22.7,286,9.312,570,10.75,7,53.3,PIPE 10 Sched 100,26.6,72.5,3.56,0.719
6.17,122,12.438,245,12.75,40.4,19.2,PIPE 12 Sched 5,7.26,24.7,4.45,0.156
7.11,140,12.39,281,12.75,34.9,22,PIPE 12 Sched 10,8.36,28.4,4.44,0.18
9.82,192,12.25,383,12.75,25,30.1,PIPE 12 Sched 20,11.5,39.1,4.42,0.25
12.9,248,12.09,497,12.75,18.8,39,PIPE 12 Sched 30,15.1,50.9,4.39,0.33
15.7,300,11.938,600,12.75,15.2,47.1,PIPE 12 Sched 40,18.5,61.9,4.37,0.406
21.5,400,11.626,799,12.75,10.8,62.8,PIPE 12 Sched 60,25.3,83.5,4.31,0.562
26.1,476,11.374,948,12.75,8.8,74.6,PIPE 12 Sched 80,30.7,100,4.27,0.688
