A,Ix,Iy,J,Size,Sx,Sy,Type,W,Zx,Zy,b,d,rx,ry,t
0.938,0.767,0.337,0.711,RT 2 1/2 x 1 1/2 x 1/8,0.613,0.449,Aluminum,1.1,0.762,0.527,1.5,2.5,0.904,0.599,0.125
8.44,44.7,44.7,66.7,RT 6 x 6 x 0.375,14.9,14.9,Aluminum,9.92,17.8,17.8,6,6,2.3,2.3,0.375
1,0.855,0.484,0.931,RT 2 1/2 x 1 3/4 x 1/8,0.684,0.553,Aluminum,1.18,0.836,0.648,1.75,2.5,0.925,0.696,0.125
1.06,1.08,0.525,1.07,RT 2 3/4 x 1 3/4 x 1/8,0.785,0.6,Aluminum,1.25,0.965,0.699,1.75,2.75,1.01,0.703,0.125
0.938,0.95,0.153,0.422,RT 3 x 1 x 1/8,0.633,0.307,Aluminum,1.1,0.832,0.363,1,3,1.01,0.404,0.125
1,1.08,0.259,0.654,RT 3 x 1 1/4 x 1/8,0.72,0.415,Aluminum,1.18,0.922,0.484,1.25,3,1.04,0.509,0.125
1.06,1.21,0.396,0.919,RT 3 x 1 1/2 x 1/8,0.806,0.528,Aluminum,1.25,1.01,0.613,1.5,3,1.07,0.611,0.125
1.55,1.68,0.533,1.24,RT 3 x 1 1/2 x 3/16,1.12,0.711,Aluminum,1.82,1.44,0.859,1.5,3,1.04,0.586,0.188
1.13,1.34,0.566,1.21,RT 3 x 1 3/4 x 1/8,0.892,0.647,Aluminum,1.32,1.1,0.75,1.75,3,1.09,0.71,0.125
1.19,1.47,0.772,1.53,RT 3 x 2 x 1 /8,0.978,0.77,Aluminum,1.4,1.19,0.895,2,3,1.11,0.806,0.125
2.25,2.55,1.3,2.57,RT 3 x 2 x 1/4,1.7,1.3,Aluminum,2.65,2.16,1.59,2,3,1.06,0.759,0.25
1.25,1.96,0.649,1.5,RT 3 1/2 x 1 3/4 x 1/8,1.12,0.742,Aluminum,1.47,1.4,0.852,1.75,3.5,1.25,0.721,0.125
1.19,2.04,0.201,0.605,RT 4 x 1 x 1/8,1.02,0.403,Aluminum,1.4,1.36,0.473,1,4,1.31,0.412,0.125
1.31,2.51,0.515,1.35,RT 4 x 1 1/2 x 1/8,1.25,0.686,Aluminum,1.54,1.61,0.785,1.5,4,1.38,0.626,0.125
1.38,2.74,0.732,1.8,RT 4 x 1 3/4 x 1/8,1.37,0.836,Aluminum,1.62,1.73,0.953,1.75,4,1.41,0.73,0.125
2.11,4.23,1.37,3.19,RT 4 x 2 x 3/16,2.11,1.37,Aluminum,2.49,2.67,1.61,2,4,1.41,0.806,0.188
2.49,5.59,3.54,6.52,RT 4 x 3 x 3/16,2.8,2.36,Aluminum,2.93,3.38,2.76,3,4,1.5,1.19,0.188
2.75,5.31,1.68,3.92,RT 4 x 2 x 1/4,2.65,1.68,Aluminum,3.23,3.41,2.03,2,4,1.39,0.782,0.25
1.56,3.45,1.65,3.39,RT 4 x 2 1/2 x 1/8,1.72,1.32,Aluminum,1.84,2.09,1.5,2.5,4,1.48,1.03,0.125
1.44,2.98,0.992,2.3,RT 4 x 2 x 1/8,1.49,0.992,Aluminum,1.69,1.85,1.13,2,4,1.44,0.831,0.125
1.81,5.95,2,4.62,RT 5 x 2 1/2 x 1/8,2.38,1.6,Aluminum,2.13,2.93,1.8,2.5,5,1.81,1.05,0.125
1.94,6.69,3.02,6.34,RT 5 x 3 x 1/8,2.68,2.01,Aluminum,2.28,3.24,2.27,3,5,1.86,1.25,0.125
2.87,9.63,4.29,9.03,RT 5 x 3 x 3/16,3.85,2.86,Aluminum,3.37,4.72,3.29,3,5,1.83,1.22,0.188
1.5,3.69,0.814,2.11,RT 4 1/2 x 1 3/4 x 1/8,1.64,0.931,Aluminum,1.76,2.09,1.05,1.75,4.5,1.57,0.737,0.125
1.69,3.92,2.5,4.6,RT 4 x 3 x 1/8,1.96,1.67,Aluminum,1.98,2.33,1.91,3,4,1.52,1.22,0.125
3.25,7.07,4.44,8.18,RT 4 x 3 x 1/4,3.53,2.96,Aluminum,3.82,4.34,3.53,3,4,1.47,1.17,0.25
6,11.5,7,12.8,RT 4 x 3 x 1/2,5.75,4.67,Aluminum,7.06,7.5,6,3,4,1.38,1.08,0.5
4.69,9.56,5.92,10.9,RT 4 x 3 x 3/8,4.78,3.94,Aluminum,5.51,6.06,4.89,3,4,1.43,1.12,0.375
2.49,7.45,1.68,4.32,RT 5 x 2 x 3/16,2.98,1.68,Aluminum,2.93,3.82,1.95,2,5,1.73,0.822,0.188
3.75,12.3,5.39,11.4,RT 5 x 3 x 1/4,4.91,3.59,Aluminum,4.41,6.09,4.22,3,5,1.81,1.2,0.25
1.63,4.83,0.897,2.41,RT 5 x 1 3/4 x 1/8,1.93,1.03,Aluminum,1.91,2.48,1.16,1.75,5,1.72,0.743,0.125
3.25,9.44,2.07,5.32,RT 5 x 2 x 1/4,3.78,2.07,Aluminum,3.82,4.91,2.47,2,5,1.7,0.798,0.25
1.69,5.2,1.21,3.09,RT 5 x 2 x 1/8,2.08,1.21,Aluminum,1.98,2.63,1.36,2,5,1.76,0.847,0.125
1.81,7.2,0.752,2.25,RT 6 x 1 1/2 x 1/8,2.4,1,Aluminum,2.13,3.17,1.13,1.5,6,1.99,0.644,0.125
1.88,7.74,1.06,3.04,RT 6 x 1 3/4 x 1/8,2.58,1.21,Aluminum,2.21,3.35,1.36,1.75,6,2.03,0.753,0.125
2.4,6.91,1.23,3.33,RT 5 x 1 3/4 x 3/  16,2.76,1.41,Aluminum,2.82,3.59,1.65,1.75,5,1.7,0.717,0.188
4.25,15.1,10.6,18.7,RT 5 x 4 x 1/4,6.04,5.29,Aluminum,5,7.28,6.22,4,5,1.88,1.58,0.25
2.87,11.9,1.99,5.47,RT 6 x 2 x 3/16,3.98,1.99,Aluminum,3.37,5.16,2.29,2,6,2.04,0.834,0.188
3.75,15.2,2.45,6.75,RT 6 x 2 x 1/4,5.07,2.45,Aluminum,4.41,6.66,2.91,2,6,2.01,0.809,0.25
3.24,15.1,5.03,11.6,RT 6 x 3 x 3/16,5.03,3.35,Aluminum,3.81,6.25,3.82,3,6,2.16,1.25,0.188
2.44,12.6,6.73,13.3,RT 6 x 4 x 1/8,4.2,3.37,Aluminum,2.87,5,3.79,4,6,2.27,1.66,0.125
2.19,10.4,3.53,8.15,RT 6 x 3 x 1/8,3.48,2.36,Aluminum,2.57,4.27,2.63,3,6,2.18,1.27,0.125
3.62,18.3,9.69,19.2,RT 6 x 4 x 3/16,6.09,4.85,Aluminum,4.26,7.34,5.53,4,6,2.25,1.64,0.188
4.75,23.5,12.3,24.5,RT 6 x 4 x 1/4,7.82,6.17,Aluminum,5.59,9.53,7.16,4,6,2.22,1.61,0.25
9,40.8,20.8,41.2,RT 6 x 4 x 1/2,13.6,10.4,Aluminum,10.6,17.3,12.8,4,6,2.13,1.52,0.5
2.44,17.5,1.87,5.59,RT 8 x 2 x 1/8,4.36,1.87,Aluminum,2.87,5.72,2.07,2,8,2.68,0.876,0.125
4.37,36.8,12.4,28.7,RT 8 x 4 x 3/16,9.21,6.21,Aluminum,5.14,11.3,6.97,4,8,2.9,1.69,0.188
5.25,40.1,8.23,21.6,RT 8 x 3 x 1/4,10,5.49,Aluminum,6.17,12.8,6.28,3,8,2.76,1.25,0.25
8.44,67.5,21.9,50.9,RT 8 x 4 x 3/8,16.9,11,Aluminum,9.92,21.3,12.9,4,8,2.83,1.61,0.375
5.75,47.6,15.9,36.7,RT 8 x 4 x 1/4,11.9,7.93,Aluminum,6.76,14.8,9.03,4,8,2.88,1.66,0.25
11,84.9,26.9,62.6,RT 8 x 4 x 1/2,21.2,13.5,Aluminum,12.9,27.3,16.3,4,8,2.78,1.56,0.5
1.94,8.28,1.43,3.91,RT 6 x 2 x 1/8,2.76,1.43,Aluminum,2.28,3.54,1.6,2,6,2.07,0.86,0.125
9.19,78.4,37,76.1,RT 8 x 5 x 3/8,19.6,14.8,Aluminum,10.8,24.2,17.3,5,8,2.92,2.01,0.375
